,,,,,,,,,
AGE,CIVIL STATUS,"YOUTH 
CLASSIFICATION","YOUTH AGE
GROUP",EDUCATIONAL BACKGROUND,WORK STATUS,,,,
15,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
18,SINGLE,WY,CORE YOUTH,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
30,SINGLE,PWD,YOUNG ADULT,N/A,UNEMPLOYED,,,,
20,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
16,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
15,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
15,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
21,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
22,SINGLE,WY,CORE YOUTH,COLLEGE GRADUATE,EMPLOYED,,,,
27,SINGLE,WY,YOUNG ADULT,COLLEGE GRADUATE,EMPLOYED,,,,
17,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
28,SINGLE,WY,YOUNG ADULT,COLLEGE GRADUATE,CURRENTLY LOOKING FOR A JOB,,,,
22,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
26,MARRIED,WY,YOUNG ADULT,COLLEGE UNDERGRADUATE,EMPLOYED,,,,
20,SINGLE,WY,CORE YOUTH,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
19,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
16,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
30,SINGLE,WY,YOUNG ADULT,COLLEGE GRADUATE,UNEMPLOYED,,,,
16,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
25,LIVE-IN,PWD/IP,YOUNG ADULT,ELEMENTARY UNDERGRADUATE,NOT INTERESTED IN LOOKING FOR A JOB,,,,
30,LIVE-IN,IP,YOUNG ADULT,ELEMENTARY UNDERGRADUATE,SELF-EMPLOYED,,,,
25,LIVE-IN,WY,YOUNG ADULT,ELEMENTARY UNDERGRADUATE,SELF-EMPLOYED,,,,
25,LIVE-IN,OSY,YOUNG ADULT,ELEMENTARY UNDERGRADUATE,CURRENTLY LOOKING FOR A JOB,,,,
251,LIVE-IN,IP,YOUNG ADULT,HIGH SCHOOL UNDERGRADUATE,CURRENTLY LOOKING FOR A JOB,,,,
26,LIVE-IN,WY,YOUNG ADULT,ELEMENTARY UNDERGRADUATE,CURRENTLY LOOKING FOR A JOB,,,,
20,SINGLE,OSY,CORE YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
18,SINGLE,ISY,CORE YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
17,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
